Title,Link,Date,Source,Summary,Term,LanguageQueried
"Monsoon delayed as El Nino looms, NE faces below-normal rainfall risk - The Assam Tribune",https://news.google.com/rss/articles/CBMitwFBVV95cUxNTlJ0M0lnODNNQ1JpMkJlcGdCeWc1SUNtbkhqdE5WOXlweExfRzlKNkxnRHVUTTI2YlRvTDd6eUxucDlyRjhtcGdjUThEOURhZy16NzZWSk1QalJXNXdJRVhVSGF2elBqbk5TUW1JY1hJMkp3c3Zac0pkMk1oZ0huS0VZajZLVnIxSFJBS1dBVUpYN2Z3d195aV9lRVZNU2Q0XzVUVXV1cUR4Q3FWRUYyX1k0X3IwVk3SAbcBQVVfeXFMTU5SdDNJZzgzTUNSaTJCZXBnQnlnNUlDbW5IanROVjl5cHhMX0c5SjZMZ0R1VE0yNmJUb0w3enlMbnA5ckY4bXBnY1E4RDlEYWctejc2VkpNUGpSVzV3SUVYVUhhdnpQam5OU1FtSWNYSTJKd3N2WnNKZDJNaGdIbktFWWo2S1ZyMUhSQUtXQVVKWDdmd3dfeWlfZUVWTVNkNF81VFV1dXFEeENxVkVGMl9ZNF9yMFZN?oc=5,2026-06-03 09:56:03,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxNTlJ0M0lnODNNQ1JpMkJlcGdCeWc1SUNtbkhqdE5WOXlweExfRzlKNkxnRHVUTTI2YlRvTDd6eUxucDlyRjhtcGdjUThEOURhZy16NzZWSk1QalJXNXdJRVhVSGF2elBqbk5TUW1JY1hJMkp3c3Zac0pkMk1oZ0huS0VZajZLVnIxSFJBS1dBVUpYN2Z3d195aV9lRVZNU2Q0XzVUVXV1cUR4Q3FWRUYyX1k0X3IwVk3SAbcBQVVfeXFMTU5SdDNJZzgzTUNSaTJCZXBnQnlnNUlDbW5IanROVjl5cHhMX0c5SjZMZ0R1VE0yNmJUb0w3enlMbnA5ckY4bXBnY1E4RDlEYWctejc2VkpNUGpSVzV3SUVYVUhhdnpQam5OU1FtSWNYSTJKd3N2WnNKZDJNaGdIbktFWWo2S1ZyMUhSQUtXQVVKWDdmd3dfeWlfZUVWTVNkNF81VFV1dXFEeENxVkVGMl9ZNF9yMFZN?oc=5"" target=""_blank"">Monsoon delayed as El Nino looms, NE faces below-normal rainfall risk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Monsoon,en
Storms and heat linger as monsoon makes slow approach on Tuesday - MSN,https://news.google.com/rss/articles/CBMi-wJBVV95cUxNdHBmWEw4UVJ1dWZQQTF5VDhQRUpOOUNtcjFsUXNHX2FTX3dEc1psUG5LaDB6S3ZjYXNOZXBUcjlFSXdqRDB5WmFmMjF5anNDdmlkR0c0RVRPNXI4dElINHZSaTZGQ1hIbjh6cWhPWDVVWTZHLVZHS1owc3E2Yi0yek01RHRvWlVTbzJ6ay1QeTNLTEMtV1MxYVZaZ25mZnZUQjVIbmlSdlk5b01pTlJmclNlcGdJUkxlRWNFUUs3UTRFczBFWG5LVHJfV2ZkUXFQUURQVU10aWxpTlA1Q3o4Nmg0RlZURlZ6VmF4cTFhTFpvMUZ0THBqeXBUdUJGWnpSV2xhYzRRaHVGOThKUXRkOU9vS214RnFfRHFtbkFZUm5qbHpGSjA4bGNqajhLb01zQ1RJaGNJeDJTaDA2OVl4T1piZ3huWEkwbURaNnR0Qk9OUVIySEJTWVQ5T01YZlUzRy1sZjl2dTBuVlJ4TzN0U1RzU1NzY2l4YnE0?oc=5,2026-06-03 01:26:07,MSN,"<a href=""https://news.google.com/rss/articles/CBMi-wJBVV95cUxNdHBmWEw4UVJ1dWZQQTF5VDhQRUpOOUNtcjFsUXNHX2FTX3dEc1psUG5LaDB6S3ZjYXNOZXBUcjlFSXdqRDB5WmFmMjF5anNDdmlkR0c0RVRPNXI4dElINHZSaTZGQ1hIbjh6cWhPWDVVWTZHLVZHS1owc3E2Yi0yek01RHRvWlVTbzJ6ay1QeTNLTEMtV1MxYVZaZ25mZnZUQjVIbmlSdlk5b01pTlJmclNlcGdJUkxlRWNFUUs3UTRFczBFWG5LVHJfV2ZkUXFQUURQVU10aWxpTlA1Q3o4Nmg0RlZURlZ6VmF4cTFhTFpvMUZ0THBqeXBUdUJGWnpSV2xhYzRRaHVGOThKUXRkOU9vS214RnFfRHFtbkFZUm5qbHpGSjA4bGNqajhLb01zQ1RJaGNJeDJTaDA2OVl4T1piZ3huWEkwbURaNnR0Qk9OUVIySEJTWVQ5T01YZlUzRy1sZjl2dTBuVlJ4TzN0U1RzU1NzY2l4YnE0?oc=5"" target=""_blank"">Storms and heat linger as monsoon makes slow approach on Tuesday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Monsoon,en
Another round of flash flood in Guwahati - The News Mill,https://news.google.com/rss/articles/CBMifkFVX3lxTFBzaUlLYVlMNm9DSExkYTV3SGZ3Ul8wMEdQYS14bW4xYU5aRlF6aEQ5bktNcHVOZEQwOEswRDhISXl6dGppN243TnBLVEJkNzFPWjVyRnBlZnlxeTIzM1h5SEdwbVJxZVdRRmdLUllQb3ZNTVFJaHFQLUZXdi1idw?oc=5,2026-06-03 04:02:08,The News Mill,"<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTFBzaUlLYVlMNm9DSExkYTV3SGZ3Ul8wMEdQYS14bW4xYU5aRlF6aEQ5bktNcHVOZEQwOEswRDhISXl6dGppN243TnBLVEJkNzFPWjVyRnBlZnlxeTIzM1h5SEdwbVJxZVdRRmdLUllQb3ZNTVFJaHFQLUZXdi1idw?oc=5"" target=""_blank"">Another round of flash flood in Guwahati</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The News Mill</font>",Monsoon,en
"IMD predicts heavy rains across East, South India - News On AIR",https://news.google.com/rss/articles/CBMif0FVX3lxTE00Q1FNN0ozTlVrQ296dGxtQzFDWEtwaUNIVWoyTzZiSUM3T2ZCUVdxOUxfMDFDV3VDaktVdnQ5N3ZweS1pV0FmX1NqTnlxbXVFYmJKX2VSMktMWVlDRUgtV1pxUWlPM0pia3hFRWtCVk9qU1g0YXkzOTRzZkFvbW8?oc=5,2026-06-03 03:16:43,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE00Q1FNN0ozTlVrQ296dGxtQzFDWEtwaUNIVWoyTzZiSUM3T2ZCUVdxOUxfMDFDV3VDaktVdnQ5N3ZweS1pV0FmX1NqTnlxbXVFYmJKX2VSMktMWVlDRUgtV1pxUWlPM0pia3hFRWtCVk9qU1g0YXkzOTRzZkFvbW8?oc=5"" target=""_blank"">IMD predicts heavy rains across East, South India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
IMD forecasts heavy to very heavy rainfall at isolated places over southern regions - News On AIR,https://news.google.com/rss/articles/CBMirgFBVV95cUxOTEJRTlY5cnVtbTM1NWpyOVFYc1NJQVhXLUZhRHFmdzlxbDJQdDlTMUc3bC0wWVA0N3JCRGZLTHNGSG1MeG9hRjBlM1BzdG5JLUxmeEEyUUZBLTlwR3FqRGRfaURxV1NSNFlMZVlzc0xXOEtiNXVsaXVkZXgyM2kzX1JtbENWc0pEQUFsT1o0b0JmUktJTTM2SC04WDctd2NoaTBpeHBCbnJhRUdJNnc?oc=5,2026-06-03 00:23:02,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxOTEJRTlY5cnVtbTM1NWpyOVFYc1NJQVhXLUZhRHFmdzlxbDJQdDlTMUc3bC0wWVA0N3JCRGZLTHNGSG1MeG9hRjBlM1BzdG5JLUxmeEEyUUZBLTlwR3FqRGRfaURxV1NSNFlMZVlzc0xXOEtiNXVsaXVkZXgyM2kzX1JtbENWc0pEQUFsT1o0b0JmUktJTTM2SC04WDctd2NoaTBpeHBCbnJhRUdJNnc?oc=5"" target=""_blank"">IMD forecasts heavy to very heavy rainfall at isolated places over southern regions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
IMD Forecasts Heavy to Very Heavy Rainfall in Northeast; Heatwave Conditions Likely in Parts of West India - News On AIR,https://news.google.com/rss/articles/CBMiywFBVV95cUxPTDlWVHkxdzZMaWtieFZub2k2OHRQZGV5VHNCQkx3WlZHcVF6ZU9jYzRZU2x6alkyOVJtRVJyRmhPbm1qaU9HdGs5b3ZIQ05wQTdBLVZFYVM3R0FJaHFLQWRwdTVPZzh3NU81YUdvVXRJRkxtMWFBODRmVzVHeVVzajVYWFYwcHhyd3IxcXdicFdIZjV6LWlvM2dqLXMxbWNnZkhpTWRUZTlBaWx1azJUdlBIUGpPbmY0WFI0SXpIOExxbmxOMmxSck1Jaw?oc=5,2026-06-03 05:15:27,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxPTDlWVHkxdzZMaWtieFZub2k2OHRQZGV5VHNCQkx3WlZHcVF6ZU9jYzRZU2x6alkyOVJtRVJyRmhPbm1qaU9HdGs5b3ZIQ05wQTdBLVZFYVM3R0FJaHFLQWRwdTVPZzh3NU81YUdvVXRJRkxtMWFBODRmVzVHeVVzajVYWFYwcHhyd3IxcXdicFdIZjV6LWlvM2dqLXMxbWNnZkhpTWRUZTlBaWx1azJUdlBIUGpPbmY0WFI0SXpIOExxbmxOMmxSck1Jaw?oc=5"" target=""_blank"">IMD Forecasts Heavy to Very Heavy Rainfall in Northeast; Heatwave Conditions Likely in Parts of West India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
"IMD forecasts heavy rainfall in Northeast, South; heatwave to persist in Northwest - News On AIR",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQbFJkbmF1VE1BMkd0Z29TY05EdTAwdHJGX0lMRnA0THRJZlFncVZNSHpFMG1HOG11RUxnR05VTkFYcUcxdEZUSWhPU0lmVzVnVUlqZVBqSGFXZHpZS3ZQZjZNaWNZN2RYNjFFT2wxZWNBMkt3NXRWaGtZNWZpdVFuRC1aa1BGRVJ0U2hFaE9pR0pnV0h5RVJVMFZfRnRxeUdybWNCSHJIb2NrZw?oc=5,2026-06-03 03:36:56,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQbFJkbmF1VE1BMkd0Z29TY05EdTAwdHJGX0lMRnA0THRJZlFncVZNSHpFMG1HOG11RUxnR05VTkFYcUcxdEZUSWhPU0lmVzVnVUlqZVBqSGFXZHpZS3ZQZjZNaWNZN2RYNjFFT2wxZWNBMkt3NXRWaGtZNWZpdVFuRC1aa1BGRVJ0U2hFaE9pR0pnV0h5RVJVMFZfRnRxeUdybWNCSHJIb2NrZw?oc=5"" target=""_blank"">IMD forecasts heavy rainfall in Northeast, South; heatwave to persist in Northwest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
Normal monsoon forecast promises relief; farm gains for Northeast - MSN,https://news.google.com/rss/articles/CBMiiwNBVV95cUxNeTVtdHlhSWJCSl9VOWhtRTR2N1l4clRORFJ2RmpaelZlbzlmcDRIb3kwaldoREctbEpuUktiZlBQaWtDN0xBWTVWQXZ4Vkc3WVk5cjcxMUw1NVRzZ0Y0ZHRNcmEtSmxGWGlxQXNERkNlU1VQYlozdThsRzZuWnI3SlJJQUxtVExZVnloaDE5Wk5qczlOYmcyRkdtUTdvR2pTUnlWWnpUcDdRdm1mR2xoYUctSERHRnloOFR0eTZmenktQmF4Y0VGcHVKTVpOVHlMZFZvU3ltQklGQ0kyVzVxUzhOZlo5R2dZeHdVLXZQdFlGZ0hBN1FKenNlay1rNUNoVmdQNU9Ld3Jtc0RhLVo1OE5jdFpOZDl3YTlpWGlNQjNfdmMyQVlHS2JIenJqeVpHT252cFc5WUZFYzhHUGZMN05UaGloOC1WY2hkdXNCYVlfcTEyT3puSzNVM1BIeTcyN0FzeXp6MFJERDJjdWpIWWJ5SHBNV3Mxdm1UNDdtT0VvSEFiNU1rMG80dw?oc=5,2026-06-03 08:13:15,MSN,"<a href=""https://news.google.com/rss/articles/CBMiiwNBVV95cUxNeTVtdHlhSWJCSl9VOWhtRTR2N1l4clRORFJ2RmpaelZlbzlmcDRIb3kwaldoREctbEpuUktiZlBQaWtDN0xBWTVWQXZ4Vkc3WVk5cjcxMUw1NVRzZ0Y0ZHRNcmEtSmxGWGlxQXNERkNlU1VQYlozdThsRzZuWnI3SlJJQUxtVExZVnloaDE5Wk5qczlOYmcyRkdtUTdvR2pTUnlWWnpUcDdRdm1mR2xoYUctSERHRnloOFR0eTZmenktQmF4Y0VGcHVKTVpOVHlMZFZvU3ltQklGQ0kyVzVxUzhOZlo5R2dZeHdVLXZQdFlGZ0hBN1FKenNlay1rNUNoVmdQNU9Ld3Jtc0RhLVo1OE5jdFpOZDl3YTlpWGlNQjNfdmMyQVlHS2JIenJqeVpHT252cFc5WUZFYzhHUGZMN05UaGloOC1WY2hkdXNCYVlfcTEyT3puSzNVM1BIeTcyN0FzeXp6MFJERDJjdWpIWWJ5SHBNV3Mxdm1UNDdtT0VvSEFiNU1rMG80dw?oc=5"" target=""_blank"">Normal monsoon forecast promises relief; farm gains for Northeast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Monsoon,en
"Encroached Topajan Drain Turns Historic Lifeline into Flood Hazard in Dibrugarh - The Sentinel - of this Land, for its People",https://news.google.com/rss/articles/CBMizAFBVV95cUxOS3I3aHBLbVNFOFpMWmRjQnI4Vm1lQlBtWHVVX1VpWmozdXVncTllcm1jZmdyRFVtcTQtNnpoZEtrVWtxTTRRYURoNEdnR29rTTV0bTlkTWJkNktGNUNHMFpiWElaQTM2WUlBSjRnZHFIRFdWQWZhTHhZX1V2eVpSYXI2UnRPTnprcjRYcHpaX2hIbnZNeW5sLW1DeWNabmpJc3VwemZqTThqVFdfWUkxVS1TSVozb3psMVpFbmJOdlQtbHVPNExQbDBYakvSAcwBQVVfeXFMTktyN2hwS21TRThaTFpkY0JyOFZtZUJQbVh1VV9VaVpqM3V1Z3E5ZXJtY2ZnckRVbXE0LTZ6aGRLa1VrcU00UWFEaDRHZ0dva001dG05ZE1iZDZLRjVDRzBaYlhJWkEzNllJQUo0Z2RxSERXVkFmYUx4WV9VdnlaUmFyNlJ0T056a3I0WHB6Wl9oSG52TXlubC1tQ3ljWm5qSXN1cHpmak04alRXX1lJMVUtU0laM296bDFaRW5iTnZULWx1TzRMUGwwWGpL?oc=5,2026-06-03 10:29:32,"The Sentinel - of this Land, for its People","<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOS3I3aHBLbVNFOFpMWmRjQnI4Vm1lQlBtWHVVX1VpWmozdXVncTllcm1jZmdyRFVtcTQtNnpoZEtrVWtxTTRRYURoNEdnR29rTTV0bTlkTWJkNktGNUNHMFpiWElaQTM2WUlBSjRnZHFIRFdWQWZhTHhZX1V2eVpSYXI2UnRPTnprcjRYcHpaX2hIbnZNeW5sLW1DeWNabmpJc3VwemZqTThqVFdfWUkxVS1TSVozb3psMVpFbmJOdlQtbHVPNExQbDBYakvSAcwBQVVfeXFMTktyN2hwS21TRThaTFpkY0JyOFZtZUJQbVh1VV9VaVpqM3V1Z3E5ZXJtY2ZnckRVbXE0LTZ6aGRLa1VrcU00UWFEaDRHZ0dva001dG05ZE1iZDZLRjVDRzBaYlhJWkEzNllJQUo0Z2RxSERXVkFmYUx4WV9VdnlaUmFyNlJ0T056a3I0WHB6Wl9oSG52TXlubC1tQ3ljWm5qSXN1cHpmak04alRXX1lJMVUtU0laM296bDFaRW5iTnZULWx1TzRMUGwwWGpL?oc=5"" target=""_blank"">Encroached Topajan Drain Turns Historic Lifeline into Flood Hazard in Dibrugarh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Sentinel - of this Land, for its People</font>",Monsoon,en
"Southwest monsoon advances further into remaining parts of Central, North Arabian Sea: IMD - News On AIR",https://news.google.com/rss/articles/CBMitAFBVV95cUxNdmR3SS1NY3Q1NlF3Tm5ITzJvcWhRSjVWdFp5STBOcU96RVBWRjNTTGQxYTEyZkdOdUdnQzJaakY5V1hYT0dOdno4Z3RTWVRHNTdMYy1zbnh4OEVwaDZjOWFqZVJ3bmZvUTNGNUU3eU5rRmd4SDB1VmlKSXBLSUhCdjdoYlozRTJxdzhzMzFmam94dld6azlNOHg3eU5IVkJVX18xdkZ2OW9DTTltUXFSZzNSeU8?oc=5,2026-06-03 03:25:36,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNdmR3SS1NY3Q1NlF3Tm5ITzJvcWhRSjVWdFp5STBOcU96RVBWRjNTTGQxYTEyZkdOdUdnQzJaakY5V1hYT0dOdno4Z3RTWVRHNTdMYy1zbnh4OEVwaDZjOWFqZVJ3bmZvUTNGNUU3eU5rRmd4SDB1VmlKSXBLSUhCdjdoYlozRTJxdzhzMzFmam94dld6azlNOHg3eU5IVkJVX18xdkZ2OW9DTTltUXFSZzNSeU8?oc=5"" target=""_blank"">Southwest monsoon advances further into remaining parts of Central, North Arabian Sea: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
