Title,Link,Date,Source,Summary,Term,LanguageQueried
"Monsoon woes: Clogged drains, muddy sludge turn Bage Tinali-Naharlagun road into commuters’ nightmare - The Arunachal Times",https://news.google.com/rss/articles/CBMi3wFBVV95cUxQRVBFejR3LUFqT2VJeTJuTWVYa2l3UFdrUUhnVm5tWnJOZ1BBak5YUUQ3OFJ2SWlHM0ZZY1Jib3dmQWdjYm9URkxHLXR2Mzk5MWZBZlFxNUFMMXNmUjYzWjRERmFrTldLa1Zxdmg2bFRHd3pTWURUTjJGSlJwd1RObHNOZXpWQ093ekdVV19nVW9fTUdub0NaNVJ1alA0N3ZGdDBPNk5nYzhHQ0ZCMWk4NU90LXNWU0ZwSlFZdEZPTDhaVmU0b0lVcjdoY3pCZ0hidXpyMWFFaGtQTXdQNnA4?oc=5,2026-06-19 00:26:04,The Arunachal Times,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxQRVBFejR3LUFqT2VJeTJuTWVYa2l3UFdrUUhnVm5tWnJOZ1BBak5YUUQ3OFJ2SWlHM0ZZY1Jib3dmQWdjYm9URkxHLXR2Mzk5MWZBZlFxNUFMMXNmUjYzWjRERmFrTldLa1Zxdmg2bFRHd3pTWURUTjJGSlJwd1RObHNOZXpWQ093ekdVV19nVW9fTUdub0NaNVJ1alA0N3ZGdDBPNk5nYzhHQ0ZCMWk4NU90LXNWU0ZwSlFZdEZPTDhaVmU0b0lVcjdoY3pCZ0hidXpyMWFFaGtQTXdQNnA4?oc=5"" target=""_blank"">Monsoon woes: Clogged drains, muddy sludge turn Bage Tinali-Naharlagun road into commuters’ nightmare</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Arunachal Times</font>",Monsoon,en
"Heavy rain to lash Assam, Meghalaya; Delhi braces for dust storm and showers - CNBC TV18",https://news.google.com/rss/articles/CBMiugFBVV95cUxPQzR0eTRPaVBNMlNFZGtDeDUyU1llWGJqSEJPdzhTTVVMNUpVWFl4RkVyTllwTGYzd3VGMHhDUGp6c0dPTlZpMlAwTUFES1dBdGNjcWdiR0ZHT3FWVVRyYmRaMEl1anpiZ25ER2dNUFd1aGxuUExia20wVV9MVlB2R3hRZHAwbWRzRHFZbVdmeGVleGxyRXVmQ1lpWHVTbHRTaFA4b0FQVVZJV1hUcFNFRDlPS0lGbXpuUFHSAb8BQVVfeXFMUDlmdWlpT2R4TXBXUFBHbXRJSHpHVTZCQzdONG5jbkZxLXdzRnE0WGw0ZWRuU21xdjZfSWhwSEZSMC1KdGpyVk9kU00zWm5rZFhjX1RaaGZMUndTYWpIYkQtTXpGY0JTN2NGOTZFZVY0X3RnSVVPYVVyNWhCbWF3Z3dyOS1OWjJ6eUp3TFpzU0xFaFhFMmRPUzNJaWI2RFp1QTJRUm5fVWV3aXBENFVkTlRzUW00UDZQQzBMYnhVeTQ?oc=5,2026-06-19 05:00:44,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxPQzR0eTRPaVBNMlNFZGtDeDUyU1llWGJqSEJPdzhTTVVMNUpVWFl4RkVyTllwTGYzd3VGMHhDUGp6c0dPTlZpMlAwTUFES1dBdGNjcWdiR0ZHT3FWVVRyYmRaMEl1anpiZ25ER2dNUFd1aGxuUExia20wVV9MVlB2R3hRZHAwbWRzRHFZbVdmeGVleGxyRXVmQ1lpWHVTbHRTaFA4b0FQVVZJV1hUcFNFRDlPS0lGbXpuUFHSAb8BQVVfeXFMUDlmdWlpT2R4TXBXUFBHbXRJSHpHVTZCQzdONG5jbkZxLXdzRnE0WGw0ZWRuU21xdjZfSWhwSEZSMC1KdGpyVk9kU00zWm5rZFhjX1RaaGZMUndTYWpIYkQtTXpGY0JTN2NGOTZFZVY0X3RnSVVPYVVyNWhCbWF3Z3dyOS1OWjJ6eUp3TFpzU0xFaFhFMmRPUzNJaWI2RFp1QTJRUm5fVWV3aXBENFVkTlRzUW00UDZQQzBMYnhVeTQ?oc=5"" target=""_blank"">Heavy rain to lash Assam, Meghalaya; Delhi braces for dust storm and showers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Monsoon,en
"IMD warns Assam and Meghalaya of heavy rain, Delhi storms - NewsBytes",https://news.google.com/rss/articles/CBMiowFBVV95cUxNNndOOGFfanRkMGtZVS1POEQ3c2ZFa0wzY0kzc29zZHBGQ09GczBtT3Njb3l0TThQWWJsWDFPLVk3ZUhVVGRvRldCQmVxdmxXazkzTjlPZW9hbEgzMnl5TzVucHVScDVKWUFuRlI0bzU1dWYwbXY1SFAySENHaDNHd3RVeVVpNUwwTEVtVER4ZzVhZFhBRHVnRHZlNVFJVG01WThv?oc=5,2026-06-19 10:11:51,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxNNndOOGFfanRkMGtZVS1POEQ3c2ZFa0wzY0kzc29zZHBGQ09GczBtT3Njb3l0TThQWWJsWDFPLVk3ZUhVVGRvRldCQmVxdmxXazkzTjlPZW9hbEgzMnl5TzVucHVScDVKWUFuRlI0bzU1dWYwbXY1SFAySENHaDNHd3RVeVVpNUwwTEVtVER4ZzVhZFhBRHVnRHZlNVFJVG01WThv?oc=5"" target=""_blank"">IMD warns Assam and Meghalaya of heavy rain, Delhi storms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Monsoon,en
"IMD issues heavy rain alert in 12 states including Bihar, thunderstorms likely in 23 states, see Weather Alert - informalnewz",https://news.google.com/rss/articles/CBMi1AFBVV95cUxQdzNVejdwaEtSZ0tpMnJyZ0VkTC1RS3RPUUtveTBMa25XMmM3RWJ2a1NPNkJzWjJiUC1NQWk5TzJ5YzlfUGgyMGZ0RE13bERIZUV5UGZYeG1mUVJoQ2dkN040eXBTQUwtR2pJN3lJOTdkQjdPV2F3Y0ZVUUJMeW1HcUFDTTZEa2RXVDFHZWI1bjNnZEhVak1SV1dNOHJPSnV3QWhVUEVicnJTRm9yeDhCS2MzZk1UcjM3ZkhGSFN2bXdna3FBOHkwcV9HT01hYmtubEN1S9IB3AFBVV95cUxQNlhndF9mdHNHUEwwVGlDZlpROGcyVGpTTkdvcFc0RHNRX3NiTllWSkhpQWpDQzdqQl8wU1YxbDBhcEhjd1MyaHU4bkU0QTU3bnBVSUNZYXVieGJoWkhpLTc2QlRQSU03eHoyS2tWSk81RGs4TDdybkI5czhMRzlsNjVaMUMySkRqd0lmajF3aWFEZGRfV3JCcU5VQXEzSGNlQUpETFhtRE80RU1UdFVsS1NCSjRqeXhHcGczTGpQNWN4dWI2cFdfLWVZempnX1VKQUl5OXZQd3FyQnhV?oc=5,2026-06-19 07:55:08,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxQdzNVejdwaEtSZ0tpMnJyZ0VkTC1RS3RPUUtveTBMa25XMmM3RWJ2a1NPNkJzWjJiUC1NQWk5TzJ5YzlfUGgyMGZ0RE13bERIZUV5UGZYeG1mUVJoQ2dkN040eXBTQUwtR2pJN3lJOTdkQjdPV2F3Y0ZVUUJMeW1HcUFDTTZEa2RXVDFHZWI1bjNnZEhVak1SV1dNOHJPSnV3QWhVUEVicnJTRm9yeDhCS2MzZk1UcjM3ZkhGSFN2bXdna3FBOHkwcV9HT01hYmtubEN1S9IB3AFBVV95cUxQNlhndF9mdHNHUEwwVGlDZlpROGcyVGpTTkdvcFc0RHNRX3NiTllWSkhpQWpDQzdqQl8wU1YxbDBhcEhjd1MyaHU4bkU0QTU3bnBVSUNZYXVieGJoWkhpLTc2QlRQSU03eHoyS2tWSk81RGs4TDdybkI5czhMRzlsNjVaMUMySkRqd0lmajF3aWFEZGRfV3JCcU5VQXEzSGNlQUpETFhtRE80RU1UdFVsS1NCSjRqeXhHcGczTGpQNWN4dWI2cFdfLWVZempnX1VKQUl5OXZQd3FyQnhV?oc=5"" target=""_blank"">IMD issues heavy rain alert in 12 states including Bihar, thunderstorms likely in 23 states, see Weather Alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",Monsoon,en
IMD forecasts heavy rainfall in parts of NE and West Bengal - Newsonair,https://news.google.com/rss/articles/CBMijgFBVV95cUxNclg2RGFxMWtoSlc0eWszWTltd3hCa0ZRMTR5a1NzcFM1d0g3NUEwMUJCMHA0NXhGNUpyVWJhWEhOTE01VkQ5a2x3ZVZ6Nl9BbGVMXzZRbllucnlzTFItUl9OMWN5QnZpcGkxMnFkREVRcy1zMnkxMzAzSnlQVDA4MldHUHFqVmNQc3Bfd2pB?oc=5,2026-06-19 02:12:26,Newsonair,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxNclg2RGFxMWtoSlc0eWszWTltd3hCa0ZRMTR5a1NzcFM1d0g3NUEwMUJCMHA0NXhGNUpyVWJhWEhOTE01VkQ5a2x3ZVZ6Nl9BbGVMXzZRbllucnlzTFItUl9OMWN5QnZpcGkxMnFkREVRcy1zMnkxMzAzSnlQVDA4MldHUHFqVmNQc3Bfd2pB?oc=5"" target=""_blank"">IMD forecasts heavy rainfall in parts of NE and West Bengal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Newsonair</font>",Monsoon,en
"Red alert in Bengal over heavy monsoon rain, storm warnings across North India - The Indian Express",https://news.google.com/rss/articles/CBMimAFBVV95cUxPSWFBVE5XN2N1SnRFcUw5UVp5dTRmRzljYmp1d21hbmdxckZGOVZkaTZ5ZXdEYXBoTU1nVzA1LS1fNWJfV29abTZldFl5cmVZZ2dVbWtHTnozdWc1a3hTbGJuRkZTNTk0S0tVdjJ6S3pFS3FDaEYxNnMtOUpreTVGSElBUmM5MHN5RTlqUTJjOUtidWNkRVZ4TNIBnwFBVV95cUxQTzJwSDdiQlU5S1BuM2NtVHZmT2xjMUJiYVlKUEh4WW9zZFdMS2RjeVNiZTNEdW13cXM5M2ZXcUJIYjlwbk5KM3J5WUhiS3BzYTU1cWJoSTdFMXNHYmFkQ0FmX3hlRWlNcElHV2p1WDhQZFRvTjFxWWx6anJENW9tY2I3LXd1dFFnQkNycTEweWhScndYVEZtUmJnV3hDd0E?oc=5,2026-06-19 13:10:39,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxPSWFBVE5XN2N1SnRFcUw5UVp5dTRmRzljYmp1d21hbmdxckZGOVZkaTZ5ZXdEYXBoTU1nVzA1LS1fNWJfV29abTZldFl5cmVZZ2dVbWtHTnozdWc1a3hTbGJuRkZTNTk0S0tVdjJ6S3pFS3FDaEYxNnMtOUpreTVGSElBUmM5MHN5RTlqUTJjOUtidWNkRVZ4TNIBnwFBVV95cUxQTzJwSDdiQlU5S1BuM2NtVHZmT2xjMUJiYVlKUEh4WW9zZFdMS2RjeVNiZTNEdW13cXM5M2ZXcUJIYjlwbk5KM3J5WUhiS3BzYTU1cWJoSTdFMXNHYmFkQ0FmX3hlRWlNcElHV2p1WDhQZFRvTjFxWWx6anJENW9tY2I3LXd1dFFnQkNycTEweWhScndYVEZtUmJnV3hDd0E?oc=5"" target=""_blank"">Red alert in Bengal over heavy monsoon rain, storm warnings across North India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Monsoon,en
Delhi under yellow alert; heavy rain in most states as monsoon advances - Business Standard,https://news.google.com/rss/articles/CBMi0AFBVV95cUxONlRoV0tzTHN0N09KeXFzeVB5cUNPX05lQUYxZ2UtT0tTRWN5TGxaUnNibW42aldSM1AwcVNGcXNxR0ptSzBYR0V2c1B4NXdXZ09oTURtX3lmbFNSTXRySHp3dUhIci1jaVZ2Y0NqMVVOV3d6TC1IQlQ5cy1SZWZMd1hMSFpDeTNvZ1pkQk94eXhKeEE1VTZYMno5VFBmbFZGeXBZbENrWGtlUzg5M0xTSTRScGR4Y0d1SFdVM2piMVFfbm5ESTJ1OG5YeHQ1azA40gHWAUFVX3lxTE9oVzZlcC1SNU9wcFFuZ0ZNSmlldmp6NDFVUl9wajc1MTk4Zk51WlJoUnhNaFFmRkVTalByNDZ2TEVTdUJMbWwtTVNRN3lwVWZDdmNJSjlFSU5teGFCLXpvQ0dsZVBQQmZxVlIzNGlFNzBURGVTbEVUWTRmZnd3OEpVa3lWNTFQZXpMQ254U0dkbVFWcGN3eEU0R0l4SEx4alhvWE52MU1peW1XX2c2RUNLWDllMWcxZFEtWXpQbUMtQkVLSFdteVRvRndJbS1xRFdyZUNEbWc?oc=5,2026-06-19 12:38:55,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxONlRoV0tzTHN0N09KeXFzeVB5cUNPX05lQUYxZ2UtT0tTRWN5TGxaUnNibW42aldSM1AwcVNGcXNxR0ptSzBYR0V2c1B4NXdXZ09oTURtX3lmbFNSTXRySHp3dUhIci1jaVZ2Y0NqMVVOV3d6TC1IQlQ5cy1SZWZMd1hMSFpDeTNvZ1pkQk94eXhKeEE1VTZYMno5VFBmbFZGeXBZbENrWGtlUzg5M0xTSTRScGR4Y0d1SFdVM2piMVFfbm5ESTJ1OG5YeHQ1azA40gHWAUFVX3lxTE9oVzZlcC1SNU9wcFFuZ0ZNSmlldmp6NDFVUl9wajc1MTk4Zk51WlJoUnhNaFFmRkVTalByNDZ2TEVTdUJMbWwtTVNRN3lwVWZDdmNJSjlFSU5teGFCLXpvQ0dsZVBQQmZxVlIzNGlFNzBURGVTbEVUWTRmZnd3OEpVa3lWNTFQZXpMQ254U0dkbVFWcGN3eEU0R0l4SEx4alhvWE52MU1peW1XX2c2RUNLWDllMWcxZFEtWXpQbUMtQkVLSFdteVRvRndJbS1xRFdyZUNEbWc?oc=5"" target=""_blank"">Delhi under yellow alert; heavy rain in most states as monsoon advances</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Monsoon,en
"Monsoon stalls amid El Niño activity: 19 states await rain, 7 record over 60% rainfall deficit; mercury hit... - Bhaskar English",https://news.google.com/rss/articles/CBMi2gFBVV95cUxORkgwVWZvNkpRVy04M2pmZGZfVkFfVl9aQ0R5TGhXQklTaXF5SW10R21DUHcwTXhfY01GRzNybjZCT2J1eVZUdmhmUEVCR3M4VE5fZWgzdDM3RktvdG9nMUhBWHJ4MEI5S29lUGQzX3FQOFBTSGlHcFNnZWZpRElmazB6SldQLV9CSU1qcm5IdDhiY3lXUjF0ekgyUHdFaW13WXNZemZsX0U5MF9tQ1VadlRvUDM1ZmRGM0hVRnBnT1BBN0NTYm85ZXhtQVgzeVZtNExuOE1MZzlPUdIB3wFBVV95cUxQbzJjYmVGTWZtYnVQa1lyMm1NOHd2SlRTQkJHc0dkWFMwUndDa3lEYU5VWHFGRTZ3RGNEdG1jcF9ZTERLbWttNDdoMXRLVE5XLWNZLXQ5QjY2WDhuRkZXbVhiNmJCdVd3RGJfMDVXYVNJbkFLRllHX1BhWGcwNFlaNEtkQ2JydTJPV2djd202NjVZakpVUzhIQklGV19KUnU5cFhFX3U3MmNBczFJNTR0YVd4TWl6aDI1VUFHTlIyT2llMjFsVS1zcUVqM0owQk1XMU5kckZNZjB3bWJBWTRB?oc=5,2026-06-19 07:36:54,Bhaskar English,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxORkgwVWZvNkpRVy04M2pmZGZfVkFfVl9aQ0R5TGhXQklTaXF5SW10R21DUHcwTXhfY01GRzNybjZCT2J1eVZUdmhmUEVCR3M4VE5fZWgzdDM3RktvdG9nMUhBWHJ4MEI5S29lUGQzX3FQOFBTSGlHcFNnZWZpRElmazB6SldQLV9CSU1qcm5IdDhiY3lXUjF0ekgyUHdFaW13WXNZemZsX0U5MF9tQ1VadlRvUDM1ZmRGM0hVRnBnT1BBN0NTYm85ZXhtQVgzeVZtNExuOE1MZzlPUdIB3wFBVV95cUxQbzJjYmVGTWZtYnVQa1lyMm1NOHd2SlRTQkJHc0dkWFMwUndDa3lEYU5VWHFGRTZ3RGNEdG1jcF9ZTERLbWttNDdoMXRLVE5XLWNZLXQ5QjY2WDhuRkZXbVhiNmJCdVd3RGJfMDVXYVNJbkFLRllHX1BhWGcwNFlaNEtkQ2JydTJPV2djd202NjVZakpVUzhIQklGV19KUnU5cFhFX3U3MmNBczFJNTR0YVd4TWl6aDI1VUFHTlIyT2llMjFsVS1zcUVqM0owQk1XMU5kckZNZjB3bWJBWTRB?oc=5"" target=""_blank"">Monsoon stalls amid El Niño activity: 19 states await rain, 7 record over 60% rainfall deficit; mercury hit...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bhaskar English</font>",Monsoon,en
"North Bengal Red Alert: Heavy Rain Triggers Landslides, Road Damage as IMD Warns of More Downpours - Saptashwa TV",https://news.google.com/rss/articles/CBMixwFBVV95cUxORnNrVm50aS1hdmdnZlJvNzZiVUkzRUQ2NmtnbTIzNERLUmF0WEFCTmt0VlIwUmgzMTBISVNCQTVtdDY1dXRMbXZNWUlndXJJcjdQSTZqYU5mSHczektYTkpSd0dmZ0RDNk5aei1aSnQwYUh0Q0RQcEREMzVCbFV2dzBZM3V5TVBrWndrU1JXNmt5anhFNXZ3RGRWQnU4MlhXeUVyWlRhYThBX1NhMnJ0ZmdEWkZaNkFhbXJwbDlRVEtNYnV2bDZv?oc=5,2026-06-19 14:38:17,Saptashwa TV,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxORnNrVm50aS1hdmdnZlJvNzZiVUkzRUQ2NmtnbTIzNERLUmF0WEFCTmt0VlIwUmgzMTBISVNCQTVtdDY1dXRMbXZNWUlndXJJcjdQSTZqYU5mSHczektYTkpSd0dmZ0RDNk5aei1aSnQwYUh0Q0RQcEREMzVCbFV2dzBZM3V5TVBrWndrU1JXNmt5anhFNXZ3RGRWQnU4MlhXeUVyWlRhYThBX1NhMnJ0ZmdEWkZaNkFhbXJwbDlRVEtNYnV2bDZv?oc=5"" target=""_blank"">North Bengal Red Alert: Heavy Rain Triggers Landslides, Road Damage as IMD Warns of More Downpours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Saptashwa TV</font>",Monsoon,en
"आज का मौसम 19 June: IMD ने बिहार समेत इन 12 राज्यों में भारी बारिश का अलर्ट दिया, राजस्थान से दिल्ली-NCR तक आंधी-तूफान का तांडव - Moneycontrol Hindi",https://news.google.com/rss/articles/CBMi2gFBVV95cUxPR2w2aEt6SUwzZDFBMEEwRWFNQklONXVLRVFRVm5IdnFWWlp3ZE1XakZHQS15MkM0MV9EUThzb1BlQkdWUGh3d0dnQmVBMER6TmkxTi0zR3d6YUdHa3lWRk5FNVZ3R3YtZEF0MlBXMFVZTklRS3AySEFYUTVwNXhsX3pYci1yQWFVaU4yNnhXZXNvemJwM0dlOWtGOWNmMV9qaFZvN0p3cmtWYklNU1FXM2VMa0ZUXzYyN2RBM1JtVHRhNVFPTzY4RjFIRlZJWXJFV0VQU1d4NXRCZ9IB3wFBVV95cUxPWG9MM3dJbVl3bGk5Qnp1bHh5Sk5RbW9jSmxUaXlzbUdqZFlHY2ZVTGlhdXNlRW5YU3dTUlZsVnA0bWhjZEdDMHhQbDV4dmIxVFhfTmpYQkc1YTBSRml5dGNLcjRvc2VUM0JUdTJMSTNTcy04OFA4c3FCU2lmdm44TWVyTGlRRHNEN0pGN2IxdDgzbTFQZmVvRkFxNTUxSkIzekFoWmVDVi11ZHFCRnJGX1BBV3hrVTl2c2VfV0FqTXYyeVF0by1EOG1SRnVKbjlZa1B5NGZTVjFWMzd0RkZB?oc=5,2026-06-19 09:06:14,Moneycontrol Hindi,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPR2w2aEt6SUwzZDFBMEEwRWFNQklONXVLRVFRVm5IdnFWWlp3ZE1XakZHQS15MkM0MV9EUThzb1BlQkdWUGh3d0dnQmVBMER6TmkxTi0zR3d6YUdHa3lWRk5FNVZ3R3YtZEF0MlBXMFVZTklRS3AySEFYUTVwNXhsX3pYci1yQWFVaU4yNnhXZXNvemJwM0dlOWtGOWNmMV9qaFZvN0p3cmtWYklNU1FXM2VMa0ZUXzYyN2RBM1JtVHRhNVFPTzY4RjFIRlZJWXJFV0VQU1d4NXRCZ9IB3wFBVV95cUxPWG9MM3dJbVl3bGk5Qnp1bHh5Sk5RbW9jSmxUaXlzbUdqZFlHY2ZVTGlhdXNlRW5YU3dTUlZsVnA0bWhjZEdDMHhQbDV4dmIxVFhfTmpYQkc1YTBSRml5dGNLcjRvc2VUM0JUdTJMSTNTcy04OFA4c3FCU2lmdm44TWVyTGlRRHNEN0pGN2IxdDgzbTFQZmVvRkFxNTUxSkIzekFoWmVDVi11ZHFCRnJGX1BBV3hrVTl2c2VfV0FqTXYyeVF0by1EOG1SRnVKbjlZa1B5NGZTVjFWMzd0RkZB?oc=5"" target=""_blank"">आज का मौसम 19 June: IMD ने बिहार समेत इन 12 राज्यों में भारी बारिश का अलर्ट दिया, राजस्थान से दिल्ली-NCR तक आंधी-तूफान का तांडव</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol Hindi</font>",Monsoon,hi
