Title,Link,Date,Source,Summary,Term,LanguageQueried
India rains LIVE: Landslide blocks Nandprayag route in Uttarakhand days after Uttarkashi cloudburst - The Hindu,https://news.google.com/rss/articles/CBMixgFBVV95cUxPN3hNRzRCN2Y3aHE5bUpvLWRLRm5lM05JRUtqMms4QUxYbDZRMXZzdnlPQ25rV3R5UVhsZUwwSmpycFJ3aXFZd3BsZ2VfdzB3TVZvNDBkVXpxVkdZUWdFaGVBZE5qZkxDSVlaWldwZkF2RUtrWU1lYlFKckVxdG5STE9tMlRxZGxXOHd3NDR5dEtZRDczS08wR2dCYXVBUlYyLWNxRFNlZF9mZXhXQ1lVbVh2UjhoUFBBX2pZemQyM2RNTF9MQmfSAcwBQVVfeXFMUHpVN3Z4d21WSHYwSmdHcVRnX21FVnRqU2Q3UDQxQkp2c2VvYVRDOFR0T0haUlNFYlBUd2ppWjJ1bm1ZcUZ6SjBnUGRxdGJoazZWQnZvb1hTSlhTVURvR19aMGdIRXRXeVpBUnk2aXcwUFJaVHFHRmE4Rm5QRXFkTkEtXzNRYjlNWXhtWlBKM1o4M2RvOGJoUnQ4NUxrLWx2Tm1odTExcHVYbklxT2gzcU1tek15d2dSbGNZVWlCQ09ZclpEYXdxTUtFYkhJ?oc=5,2025-08-11 10:01:03,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxPN3hNRzRCN2Y3aHE5bUpvLWRLRm5lM05JRUtqMms4QUxYbDZRMXZzdnlPQ25rV3R5UVhsZUwwSmpycFJ3aXFZd3BsZ2VfdzB3TVZvNDBkVXpxVkdZUWdFaGVBZE5qZkxDSVlaWldwZkF2RUtrWU1lYlFKckVxdG5STE9tMlRxZGxXOHd3NDR5dEtZRDczS08wR2dCYXVBUlYyLWNxRFNlZF9mZXhXQ1lVbVh2UjhoUFBBX2pZemQyM2RNTF9MQmfSAcwBQVVfeXFMUHpVN3Z4d21WSHYwSmdHcVRnX21FVnRqU2Q3UDQxQkp2c2VvYVRDOFR0T0haUlNFYlBUd2ppWjJ1bm1ZcUZ6SjBnUGRxdGJoazZWQnZvb1hTSlhTVURvR19aMGdIRXRXeVpBUnk2aXcwUFJaVHFHRmE4Rm5QRXFkTkEtXzNRYjlNWXhtWlBKM1o4M2RvOGJoUnQ4NUxrLWx2Tm1odTExcHVYbklxT2gzcU1tek15d2dSbGNZVWlCQ09ZclpEYXdxTUtFYkhJ?oc=5"" target=""_blank"">India rains LIVE: Landslide blocks Nandprayag route in Uttarakhand days after Uttarkashi cloudburst</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Monsoon,en
"Heavy to very heavy rains to lash Telangana, as low pressure forms: IMD Hyderabad - Telangana Today",https://news.google.com/rss/articles/CBMiqgFBVV95cUxOdEgwSUotUmcwbDZNVjRVemhHbTN5TV91Wmo5dkJ1LS0zdEJRR3pFeGQzQ0pfRjh1LVhQbDZRUUtxZ2w4YXdkaWZkNWNMNURhMjUwRGtVT0h0U3dPTzhqdVk1QlVJa0VTN2NHSWxRaGE3S3NIR0RfS1pJdFFrbHprdUJTd2hEemRweFZsWk1TUnA3RklmNGluM0FGRGlkaUd0OURweGpWbGhnUQ?oc=5,2025-08-11 09:41:21,Telangana Today,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxOdEgwSUotUmcwbDZNVjRVemhHbTN5TV91Wmo5dkJ1LS0zdEJRR3pFeGQzQ0pfRjh1LVhQbDZRUUtxZ2w4YXdkaWZkNWNMNURhMjUwRGtVT0h0U3dPTzhqdVk1QlVJa0VTN2NHSWxRaGE3S3NIR0RfS1pJdFFrbHprdUJTd2hEemRweFZsWk1TUnA3RklmNGluM0FGRGlkaUd0OURweGpWbGhnUQ?oc=5"" target=""_blank"">Heavy to very heavy rains to lash Telangana, as low pressure forms: IMD Hyderabad</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telangana Today</font>",Monsoon,en
"Alert! IMD issues heavy rainfall warning for 11 Telangana districts, including Hyderabad — Details inside - WION",https://news.google.com/rss/articles/CBMi5AFBVV95cUxQNWc0NHh6QmtRT1E2eGFvLXBLV1diREZsNTloRTFvQ0dsWkhPbVJqazcwYVFBNmE0ei1Fbk14Ulk2VVdHal9wYW14SmRTc1RXcEZtY055ZWNrRGlURWZfUVp3cy1mbEZyNnNiZnhNTlotdmZBUlVWQ210TWRkQnlRTFNtaUNyR1JsUWNIbk9mTlI3R1J0YUY5UDNwTVI2VnM3SzBhRmtZZ0J5RWZ0NUxkYm8xeERJNWZFb01NNlB1NUhLdjJfemZMbHpqVEczcjVJc294Z256N3Awc3FQX0JDMlZ0am7SAeoBQVVfeXFMTmtvVjNMSWNLaW5rUEg3WWhMUnVBYkdxRFZXVlVRcTI5QmxVRTNmMVhhSDN0bHZMdHpVb3dXc1VlaXhvbEg5RXFPS3ZFSW5fakNvZk9sa3lxbVpUUjJiM2dZbXB4dEVWMEZRRjEwQ1BHNkpScXkyY0s1TnBVN2VoRHNWZU9Vbmx0SFdiRGJPUW44a2Fxa2M4bEx5eW5mMy1HdU92SDBlODduVUJ5WHdsTmhiZVh0OUdVWWFCWU9ndmViQ1dnUGNjeUZBWUw2MGttQkRObTU2Qm93c21GZGxBdlZHbUNMS2pZcVFn?oc=5,2025-08-11 10:30:00,WION,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQNWc0NHh6QmtRT1E2eGFvLXBLV1diREZsNTloRTFvQ0dsWkhPbVJqazcwYVFBNmE0ei1Fbk14Ulk2VVdHal9wYW14SmRTc1RXcEZtY055ZWNrRGlURWZfUVp3cy1mbEZyNnNiZnhNTlotdmZBUlVWQ210TWRkQnlRTFNtaUNyR1JsUWNIbk9mTlI3R1J0YUY5UDNwTVI2VnM3SzBhRmtZZ0J5RWZ0NUxkYm8xeERJNWZFb01NNlB1NUhLdjJfemZMbHpqVEczcjVJc294Z256N3Awc3FQX0JDMlZ0am7SAeoBQVVfeXFMTmtvVjNMSWNLaW5rUEg3WWhMUnVBYkdxRFZXVlVRcTI5QmxVRTNmMVhhSDN0bHZMdHpVb3dXc1VlaXhvbEg5RXFPS3ZFSW5fakNvZk9sa3lxbVpUUjJiM2dZbXB4dEVWMEZRRjEwQ1BHNkpScXkyY0s1TnBVN2VoRHNWZU9Vbmx0SFdiRGJPUW44a2Fxa2M4bEx5eW5mMy1HdU92SDBlODduVUJ5WHdsTmhiZVh0OUdVWWFCWU9ndmViQ1dnUGNjeUZBWUw2MGttQkRObTU2Qm93c21GZGxBdlZHbUNMS2pZcVFn?oc=5"" target=""_blank"">Alert! IMD issues heavy rainfall warning for 11 Telangana districts, including Hyderabad — Details inside</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WION</font>",Monsoon,en
Hyderabad Under Heavy Rain Alert: Telangana to Face Possible Flood-Like Situation from...Check Forecast - Times Now,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQcW9ibWlJcnRsbFc0eGRSUWVPVDN0ZTVEdjFBWld0TkFYNmo0WHA0VjdtcGhJWVNtOTZyUkE4V0lBamowN1pxaGRfOWlEWThNaHFfbnk0MFNnOXo4SERaYzdnZDh5Njh4QW9UTEYwcXJkSlNPbDF1VXRUczVxRWdKOE1pRHhHdXFYQV9qWnFsVGk4T3QxbGZKQVpvbkl2NmFscFBxTm5pQmp4NTR5MktfRzM3clJxbGhOQll1c0dzMEtqZnBIUjJPalB1U3pjM2RIZXhLNk5zanRYUTVMR0lvNDR1c1FvelhrZW1QVjhB0gHzAUFVX3lxTE8yM3A3RTNUdjdLcENHX3pyUnZSQXJlcXE1Qkp1eDJ2QTFXSUhmS0h5MTloRmo1YmhrV19LZWU3YWNiVEV1SGVLbWdhd0t1cWtXTU9vdTlhaUdOM2l3NnpxS2pIalNyNklpbC1JOTd5YW9GVGJYTDY0MHRsZ3hmaVBhV05XOHdoWENSbHVFblM1RmhGeDRqODFLV3g3Ul9IZWNGSjFPMmNFd1ZHYXA0ZmRFa0FhYjE5ek8tMXlYcUYyS1g3LXc1dGloNWRQVWFEQng5azJ1b3JnNHhBbjRya1QzYk1Yc0pGdHA5TjdTNU1fVEQxZw?oc=5,2025-08-11 07:31:00,Times Now,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxQcW9ibWlJcnRsbFc0eGRSUWVPVDN0ZTVEdjFBWld0TkFYNmo0WHA0VjdtcGhJWVNtOTZyUkE4V0lBamowN1pxaGRfOWlEWThNaHFfbnk0MFNnOXo4SERaYzdnZDh5Njh4QW9UTEYwcXJkSlNPbDF1VXRUczVxRWdKOE1pRHhHdXFYQV9qWnFsVGk4T3QxbGZKQVpvbkl2NmFscFBxTm5pQmp4NTR5MktfRzM3clJxbGhOQll1c0dzMEtqZnBIUjJPalB1U3pjM2RIZXhLNk5zanRYUTVMR0lvNDR1c1FvelhrZW1QVjhB0gHzAUFVX3lxTE8yM3A3RTNUdjdLcENHX3pyUnZSQXJlcXE1Qkp1eDJ2QTFXSUhmS0h5MTloRmo1YmhrV19LZWU3YWNiVEV1SGVLbWdhd0t1cWtXTU9vdTlhaUdOM2l3NnpxS2pIalNyNklpbC1JOTd5YW9GVGJYTDY0MHRsZ3hmaVBhV05XOHdoWENSbHVFblM1RmhGeDRqODFLV3g3Ul9IZWNGSjFPMmNFd1ZHYXA0ZmRFa0FhYjE5ek8tMXlYcUYyS1g3LXc1dGloNWRQVWFEQng5azJ1b3JnNHhBbjRya1QzYk1Yc0pGdHA5TjdTNU1fVEQxZw?oc=5"" target=""_blank"">Hyderabad Under Heavy Rain Alert: Telangana to Face Possible Flood-Like Situation from...Check Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",Monsoon,en
"Weather Update: IMD Issues Heavy Rain Alerts For Uttarakhand, Telangana, MP; Delhi To Witness... - Zee News",https://news.google.com/rss/articles/CBMizwFBVV95cUxOSXhNZW9neFlhaHdONHJHMjluN2tzYmVyVHE4Q0taVE5SbTRHMXR5V3R6UC0wa2hrak9UOTlWRlM4T2NJNm9WSFNiZHRzTXR5T1hHLXFVNXpjMEFWbFVyaFl2cllPM3BDTmkxaV9DZFNXeXNTRlFKbFV1bk5IblN3bVdpc244eml6a09Mc3FBQlZWODFaQ2JIbnFldE1LRXdzQzJMZ213MlB4eG9mM1k3X1ZsaUZzSEpJUjZvUWlLaHlwVC00NmRtcjJZa1R0YjjSAdQBQVVfeXFMUDM0QldRMjhlSFlhT3A5QXJhWnVLVWhPdFRtWkVlTTZYVlg3cjFUd3laZGRhaDhPdlVnaF9fRHF3SG56Z0tVWmZiUl9hNkptbEgzLWJNaDhfbndqcExmNXkxZG9mclZPZGVaUldCU2hlaXhWWVlTZWZHc1l3cWdHVi1EMGh5VDZzbzI4TGtlbnlqU1VzV0dzX3ZtWlNURHlzN0x5YnBTUFZha21Hb0dSbldockg0cU1jSEJfUk5XMV9VVi16d0tERk5Dck4wWnFKaVNJQ1M?oc=5,2025-08-11 09:37:08,Zee News,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOSXhNZW9neFlhaHdONHJHMjluN2tzYmVyVHE4Q0taVE5SbTRHMXR5V3R6UC0wa2hrak9UOTlWRlM4T2NJNm9WSFNiZHRzTXR5T1hHLXFVNXpjMEFWbFVyaFl2cllPM3BDTmkxaV9DZFNXeXNTRlFKbFV1bk5IblN3bVdpc244eml6a09Mc3FBQlZWODFaQ2JIbnFldE1LRXdzQzJMZ213MlB4eG9mM1k3X1ZsaUZzSEpJUjZvUWlLaHlwVC00NmRtcjJZa1R0YjjSAdQBQVVfeXFMUDM0QldRMjhlSFlhT3A5QXJhWnVLVWhPdFRtWkVlTTZYVlg3cjFUd3laZGRhaDhPdlVnaF9fRHF3SG56Z0tVWmZiUl9hNkptbEgzLWJNaDhfbndqcExmNXkxZG9mclZPZGVaUldCU2hlaXhWWVlTZWZHc1l3cWdHVi1EMGh5VDZzbzI4TGtlbnlqU1VzV0dzX3ZtWlNURHlzN0x5YnBTUFZha21Hb0dSbldockg0cU1jSEJfUk5XMV9VVi16d0tERk5Dck4wWnFKaVNJQ1M?oc=5"" target=""_blank"">Weather Update: IMD Issues Heavy Rain Alerts For Uttarakhand, Telangana, MP; Delhi To Witness...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Monsoon,en
Dharali-Harsil road connectivity to be restored within 3 days after cloudburst damage: BRO chief - DD News,https://news.google.com/rss/articles/CBMivgFBVV95cUxPM0JHZExQVTdSRV9NUG1WaXNPWUhtcnNQTVFGa2dYdmhFMFZXS3FZZXdPVm91VWFYSVRYdl9IRXdFSXpBcHdSU0pOSkhsY2RhNGN0UGlvTU5wWE0zRHVremJJOEwzRXBBVHZaSFdYbU9KUVRnRlpmQlJfN1ljWkowTVJhSjlTODBhQ1VDcERZc0llVnpjR21zeFptQVBLdUhmRnhkbVl6ejdudjJWS2RRemhlMHdzbERYclNvU29B?oc=5,2025-08-11 08:57:56,DD News,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxPM0JHZExQVTdSRV9NUG1WaXNPWUhtcnNQTVFGa2dYdmhFMFZXS3FZZXdPVm91VWFYSVRYdl9IRXdFSXpBcHdSU0pOSkhsY2RhNGN0UGlvTU5wWE0zRHVremJJOEwzRXBBVHZaSFdYbU9KUVRnRlpmQlJfN1ljWkowTVJhSjlTODBhQ1VDcERZc0llVnpjR21zeFptQVBLdUhmRnhkbVl6ejdudjJWS2RRemhlMHdzbERYclNvU29B?oc=5"" target=""_blank"">Dharali-Harsil road connectivity to be restored within 3 days after cloudburst damage: BRO chief</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DD News</font>",Monsoon,en
IMD issues “heavy to very heavy rainfall” warning at isolated places across Telangana till August 17 - News On AIR,https://news.google.com/rss/articles/CBMixwFBVV95cUxQR3NRX19VVnpDZnVfTnhHQkdLMVhxbThweEdkdFh1MWpKLWVJMENnbmc4U0R5YnR6NjhpVThvczZ0TklxTVZvY2hya0xvcjZ0TDJjR1U4YXdkQlZJYV9qNGhxRm9iRks1QS1LVnV2VHl3dTQxZnRNNWZGTjdyQ0U4NHNrTWpXUUVEQ3BxLUh4ejViTTMwaFFSSHA4ZUZJZnAxbnRwclpyeW1UMkcwNGdmRFdkWGlLQnRYNXNva1Axbkt6M1pCaXRv?oc=5,2025-08-11 08:39:25,News On AIR,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQR3NRX19VVnpDZnVfTnhHQkdLMVhxbThweEdkdFh1MWpKLWVJMENnbmc4U0R5YnR6NjhpVThvczZ0TklxTVZvY2hya0xvcjZ0TDJjR1U4YXdkQlZJYV9qNGhxRm9iRks1QS1LVnV2VHl3dTQxZnRNNWZGTjdyQ0U4NHNrTWpXUUVEQ3BxLUh4ejViTTMwaFFSSHA4ZUZJZnAxbnRwclpyeW1UMkcwNGdmRFdkWGlLQnRYNXNva1Axbkt6M1pCaXRv?oc=5"" target=""_blank"">IMD issues “heavy to very heavy rainfall” warning at isolated places across Telangana till August 17</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>",Monsoon,en
Low pressure in Bay of Bengal may bring heavy rainfall in Telangana August 13-16 - The News Minute,https://news.google.com/rss/articles/CBMivAFBVV95cUxNZ0swMFBsUlBEdDlDbE5CV1B2QUxkR3lhWnZqM1NPVm1Ia2dkdTZLVnhYbVY4cjRuaG9sdWhpNEJKN0RvUEo4UG5TeTc0Y3FTSElCaFNZRGxFYnRSSkZtbVlySVRiMUJIX0hpRjMyQlRxSTQzNlNIS2tKdzVTaXZtQmRwVE5xR29qd25tQnJCLXlhSXVPd3YyR3c3d05hUk9CcmV2bE5tc3NlaTJOVE9XSVlFY0dKd2hoZWdzctIBygFBVV95cUxNMFNoLTEzVk80UktmVjUzNFRxMTFESWxTYVZJU1Y5U1NoTFF0VzE1ZmtrblI4QmI5MGp5VzVPNjkzRzBZQ2pFRi1LY2pLSndZU1lBT0NHLTNBNURWUng3akxhTFlJbjFMUXBSYWhpS0lMS3ROVnFYQjJhVklkYkYwbVZ6SFpFRnhyR0k1ODlMMDhKemhJczcyV2pVUFhrWF95M01WWDRjV0dKel8zeGRJSEQwaTZtRW5rVkhMenBVRmtjV0V2dDhBdU5B?oc=5,2025-08-11 08:30:44,The News Minute,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNZ0swMFBsUlBEdDlDbE5CV1B2QUxkR3lhWnZqM1NPVm1Ia2dkdTZLVnhYbVY4cjRuaG9sdWhpNEJKN0RvUEo4UG5TeTc0Y3FTSElCaFNZRGxFYnRSSkZtbVlySVRiMUJIX0hpRjMyQlRxSTQzNlNIS2tKdzVTaXZtQmRwVE5xR29qd25tQnJCLXlhSXVPd3YyR3c3d05hUk9CcmV2bE5tc3NlaTJOVE9XSVlFY0dKd2hoZWdzctIBygFBVV95cUxNMFNoLTEzVk80UktmVjUzNFRxMTFESWxTYVZJU1Y5U1NoTFF0VzE1ZmtrblI4QmI5MGp5VzVPNjkzRzBZQ2pFRi1LY2pLSndZU1lBT0NHLTNBNURWUng3akxhTFlJbjFMUXBSYWhpS0lMS3ROVnFYQjJhVklkYkYwbVZ6SFpFRnhyR0k1ODlMMDhKemhJczcyV2pVUFhrWF95M01WWDRjV0dKel8zeGRJSEQwaTZtRW5rVkhMenBVRmtjV0V2dDhBdU5B?oc=5"" target=""_blank"">Low pressure in Bay of Bengal may bring heavy rainfall in Telangana August 13-16</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The News Minute</font>",Monsoon,en
"Telangana chief minister Revanth Reddy inspects flood-hit areas in Ameerpet, promises permanent solution - Times of India",https://news.google.com/rss/articles/CBMijAJBVV95cUxQRmU1XzJHMDhsUnIzdnljV0NxM2hZaHlZdTlKeFZ6VGJ1TC1DVExhZnBBb3VFQkNZZW4wd3VSa1lVeHRSMlRmUTJGY0pYSDg3eFdMTkpqdklwZXRaMzBrcGZ1eG9fbXJXd1hJWUotbVVZbzdNeFg0Umx6YkRqR2NrNmxOMXB0cWNtUTA3Q1h0MThLNUNjcV9pTHlzXzJyRFh0NUktVTMzMnlqYlgweWpxVUJOMjg5RDlQTHVIeEExSE5TTTZ1bl9CVTVKcmEzSmE4NUxCaVYwX1hQN3QwUFEwVTViWUtoclNWYVJHVTdtVEJrcmp6enIzRmhjZEtNVHNIb3VXd0c5LXhuQ3B30gGSAkFVX3lxTE1vTlhfV3B3OG5lZ0g1QS1xLUhYdC1BT2VNSHJzQWFZSFFreHI4aENxRmx5b1I1dUNxZ0xlZXJrcjBCY2VRQWd5YmpLblNYUGlIakZGdGFfVkFXT1lrVGJVWnlaeGZQdHZDOTQ5MUZ1dE5iNXdaOWFXUG5xcGhEMUJMSzkzSGhGZncxZFVDTHdERlNpdUpGdzJ1ajl4cl95MXcyQ0JpYTF2TEhsTVR5bVBXQzdINnEwUnpSZjROWlRhckM4QTdHSWVrMjlFanpLcXF6ZlZodGw2SmhwRDc4TkhKX0w2WjI4Q2M1RGU0dVc4UklxZ2Y2VzdUcU1IeTJOM2JiRHROT1dMQnFqa0NMSkRoSnc?oc=5,2025-08-11 00:10:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMijAJBVV95cUxQRmU1XzJHMDhsUnIzdnljV0NxM2hZaHlZdTlKeFZ6VGJ1TC1DVExhZnBBb3VFQkNZZW4wd3VSa1lVeHRSMlRmUTJGY0pYSDg3eFdMTkpqdklwZXRaMzBrcGZ1eG9fbXJXd1hJWUotbVVZbzdNeFg0Umx6YkRqR2NrNmxOMXB0cWNtUTA3Q1h0MThLNUNjcV9pTHlzXzJyRFh0NUktVTMzMnlqYlgweWpxVUJOMjg5RDlQTHVIeEExSE5TTTZ1bl9CVTVKcmEzSmE4NUxCaVYwX1hQN3QwUFEwVTViWUtoclNWYVJHVTdtVEJrcmp6enIzRmhjZEtNVHNIb3VXd0c5LXhuQ3B30gGSAkFVX3lxTE1vTlhfV3B3OG5lZ0g1QS1xLUhYdC1BT2VNSHJzQWFZSFFreHI4aENxRmx5b1I1dUNxZ0xlZXJrcjBCY2VRQWd5YmpLblNYUGlIakZGdGFfVkFXT1lrVGJVWnlaeGZQdHZDOTQ5MUZ1dE5iNXdaOWFXUG5xcGhEMUJMSzkzSGhGZncxZFVDTHdERlNpdUpGdzJ1ajl4cl95MXcyQ0JpYTF2TEhsTVR5bVBXQzdINnEwUnpSZjROWlRhckM4QTdHSWVrMjlFanpLcXF6ZlZodGw2SmhwRDc4TkhKX0w2WjI4Q2M1RGU0dVc4UklxZ2Y2VzdUcU1IeTJOM2JiRHROT1dMQnFqa0NMSkRoSnc?oc=5"" target=""_blank"">Telangana chief minister Revanth Reddy inspects flood-hit areas in Ameerpet, promises permanent solution</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Monsoon,en
"CM Revanth Reddy visits flood-hit areas in Hyderabad, orders urgent interventions - The New Indian Express",https://news.google.com/rss/articles/CBMi2gFBVV95cUxPcjVubzB4QVZENEdGV2pYczBwcVZLUHhqR0tOc182RVZXVkZmaTZXQ0lrY1dJVDdydHlUWl84VnpWTlpQXy1IcnQ5UnFlSHFSU0tqYkRUelJHTUxwYVlZWjlnWW5vQWJOYTFEbkR1ZW9JUFJyNEo2YWpqaVB4S1BMamh1eDV5SVlWWW9oV081SnlHOWY3QVZIS3BVV2ZFSGNqYklWTjVrczdfRHZqaUJQZFhjZ2dHcWJmeldNel8tNGRtQ1FEUzBiSXdlT3RMQ1dxR2psbjN5bkVDZ9IB5wFBVV95cUxNeDRaOTktRWg1eGNQNWdfTU9wUlZISDlrcjFSWG8zdE41TnRsc0UwbzYxLTVVVHA5ZmZjQ1dITzhWTGZ5elJVYVdFZGticDQ2RktsOXpCSDdUc3JvZFV4cjlTd2pVV0JOZGN0d2d1THJ0TGtkTWRWYnJQMEtHVlBBdUxNQnBZQURXaVVsU1hGYnprQ1JlZC11VkxiazVEbm8tVUVZSUhySXRyMFM5ekM5VUFYcGhLOHdFVEdwNzRtODBVdW53TTc2eUl4YXNmby13MEQ5dUFFeDJNV09iYnVTc1lacklJR3M?oc=5,2025-08-11 10:01:07,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPcjVubzB4QVZENEdGV2pYczBwcVZLUHhqR0tOc182RVZXVkZmaTZXQ0lrY1dJVDdydHlUWl84VnpWTlpQXy1IcnQ5UnFlSHFSU0tqYkRUelJHTUxwYVlZWjlnWW5vQWJOYTFEbkR1ZW9JUFJyNEo2YWpqaVB4S1BMamh1eDV5SVlWWW9oV081SnlHOWY3QVZIS3BVV2ZFSGNqYklWTjVrczdfRHZqaUJQZFhjZ2dHcWJmeldNel8tNGRtQ1FEUzBiSXdlT3RMQ1dxR2psbjN5bkVDZ9IB5wFBVV95cUxNeDRaOTktRWg1eGNQNWdfTU9wUlZISDlrcjFSWG8zdE41TnRsc0UwbzYxLTVVVHA5ZmZjQ1dITzhWTGZ5elJVYVdFZGticDQ2RktsOXpCSDdUc3JvZFV4cjlTd2pVV0JOZGN0d2d1THJ0TGtkTWRWYnJQMEtHVlBBdUxNQnBZQURXaVVsU1hGYnprQ1JlZC11VkxiazVEbm8tVUVZSUhySXRyMFM5ekM5VUFYcGhLOHdFVEdwNzRtODBVdW53TTc2eUl4YXNmby13MEQ5dUFFeDJNV09iYnVTc1lacklJR3M?oc=5"" target=""_blank"">CM Revanth Reddy visits flood-hit areas in Hyderabad, orders urgent interventions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",Monsoon,en
